Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Barbell Curl	barbell-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:barbell-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	beginner	arms	curl
Bent Over Row	bent-over-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bent-over-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	beginner	back	row
Pendlay Row	pendlay-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pendlay-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	beginner	back	row
Bench Press	bench-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bench-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	beginner	chest	press
Incline Bench Press	incline-bench-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-bench-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	beginner	chest	press
Close Grip Bench Press	close-grip-bench-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:close-grip-bench-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	beginner	chest	press
Overhead Press	overhead-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:overhead-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	beginner	shoulders	press
Military Press	military-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:military-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	beginner	shoulders	press
Standing Press	standing-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:standing-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	beginner	shoulders	press
Deadlift	deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:deadlift	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	beginner	legs	deadlift
Romanian Deadlift	romanian-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:romanian-deadlift	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	beginner	legs	deadlift
Stiff Leg Deadlift	stiff-leg-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:stiff-leg-deadlift	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	beginner	legs	deadlift
Squat	squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	beginner	legs	squat
Front Squat	front-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:front-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	beginner	legs	squat
Back Squat	back-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	beginner	legs	squat
Thruster	thruster	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:thruster	N/A	❌ Not Published	barbell	Multi-movement barbell combination requiring coordination, strength, and technical proficiency.	beginner	full_body	complex
Vertical Row	vertical-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:vertical-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting full_body. Maintain neutral spine and squeeze shoulder blades.	beginner	full_body	row
Power Clean	power-clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:power-clean	N/A	❌ Not Published	barbell	Olympic lifting movement bringing barbell from floor to front rack position. Requires explosive hip extension.	beginner	full_body	clean
Skull Crusher	skull-crusher	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:skull-crusher	N/A	❌ Not Published	barbell	Isolation exercise targeting triceps with barbell loading. Focus on controlled movement through full range.	beginner	arms	extension
Oblique Twist	oblique-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oblique-twist	N/A	❌ Not Published	barbell	Barbell exercise targeting core with focus on twist movement pattern.	beginner	core	twist
Incline Press	incline-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	beginner	chest	press
Upright Row	upright-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:upright-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting shoulders. Maintain neutral spine and squeeze shoulder blades.	beginner	shoulders	row
Rocking Calf	rocking-calf	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:rocking-calf	N/A	❌ Not Published	barbell	Barbell exercise targeting legs with focus on calf movement pattern.	beginner	legs	calf
Box Squat	box-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:box-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	beginner	legs	squat
Pull Raise	pull-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pull-raise	N/A	❌ Not Published	barbell	Barbell exercise targeting back with focus on raise movement pattern.	beginner	back	raise
Clean Pull	clean-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clean-pull	N/A	❌ Not Published	barbell	Barbell exercise targeting full_body with focus on pull movement pattern.	beginner	full_body	pull
High Curl	high-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:high-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	intermediate	arms	curl
Good Morning	good-morning	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:good-morning	N/A	❌ Not Published	barbell	Barbell exercise targeting back with focus on hinge movement pattern.	intermediate	back	hinge
Wrist Curl	wrist-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wrist-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	intermediate	arms	curl
Tricep Curl	tricep-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tricep-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	intermediate	arms	curl
Reverse Wrist	reverse-wrist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:reverse-wrist	N/A	❌ Not Published	barbell	Isolation exercise targeting triceps with barbell loading. Focus on controlled movement through full range.	intermediate	arms	extension
Alt Roll Out	alt-roll-out	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:alt-roll-out	N/A	❌ Not Published	barbell	Barbell exercise targeting core with focus on rollout movement pattern.	intermediate	core	rollout
Forward Lunge	forward-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:forward-lunge	N/A	❌ Not Published	barbell	Barbell exercise targeting legs with focus on lunge movement pattern.	intermediate	legs	lunge
Sumo Jerk	sumo-jerk	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sumo-jerk	N/A	❌ Not Published	barbell	Olympic pressing movement from front rack to overhead. Combines leg drive with arm extension.	intermediate	shoulders	jerk
