Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Incline Fly	incline-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	beginner	chest	fly	
Crunches	crunches	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:crunches	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on crunch movement pattern.	beginner	core	crunch	
Air Roll Outs	air-roll-outs	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:air-roll-outs	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on rollout movement pattern.	beginner	core	rollout	
Y Arms Press	y-arms-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:y-arms-press	N/A	❌ Not Published	suspension_trainer	Suspension trainer pressing movement targeting shoulders. Requires core stability throughout.	beginner	shoulders	press	
Cross Plank	cross-plank	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cross-plank	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on plank movement pattern.	beginner	core	plank	
All Roll Feet	all-roll-feet	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:all-roll-feet	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting full_body with focus on roll movement pattern.	beginner	full_body	roll	
Back Bridge	back-bridge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-bridge	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting back with focus on bridge movement pattern.	beginner	back	bridge	
Lunge Fly	lunge-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer lunge targeting legs and balance. Single-leg instability increases core engagement.	beginner	legs	lunge	
Hamstring Up	hamstring-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hamstring-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting legs with focus on curl movement pattern.	beginner	legs	curl	
Pine Pose Up	pine-pose-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pine-pose-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting full_body with focus on pose movement pattern.	beginner	full_body	pose	
Clock Press	clock-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clock-press	N/A	❌ Not Published	suspension_trainer	Suspension trainer pressing movement targeting chest. Requires core stability throughout.	beginner	chest	press	
Reverse Crunch	reverse-crunch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:reverse-crunch	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on crunch movement pattern.	beginner	core	crunch	
Side Crunch	side-crunch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-crunch	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on crunch movement pattern.	beginner	core	crunch	
Power Pull	power-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:power-pull	N/A	❌ Not Published	suspension_trainer	Suspension trainer pulling exercise targeting back. Body angle adjusts resistance.	beginner	back	pull	
Squat Row	squat-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:squat-row	N/A	❌ Not Published	suspension_trainer	Suspension trainer rowing exercise targeting full_body. Lean angle determines difficulty.	beginner	full_body	row	
Chest Row	chest-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:chest-row	N/A	❌ Not Published	suspension_trainer	Suspension trainer rowing exercise targeting back. Lean angle determines difficulty.	beginner	back	row	
Oblique Fly	oblique-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oblique-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	beginner	core	fly	
Spiderman PU	spiderman-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:spiderman-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	intermediate	chest	pushup	
Oblique Roll	oblique-roll	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oblique-roll	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on roll movement pattern.	intermediate	core	roll	
On One Foot	on-one-foot	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:on-one-foot	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting legs with focus on balance movement pattern.	intermediate	legs	balance	
Cross Lunge	cross-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cross-lunge	N/A	❌ Not Published	suspension_trainer	Suspension trainer lunge targeting legs and balance. Single-leg instability increases core engagement.	intermediate	legs	lunge	
Sprinter Start	sprinter-start	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sprinter-start	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting legs with focus on sprint movement pattern.	intermediate	legs	sprint	
Hip Fly	hip-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hip-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	intermediate	legs	fly	
Prone Row	prone-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:prone-row	N/A	❌ Not Published	suspension_trainer	Suspension trainer rowing exercise targeting back. Lean angle determines difficulty.	intermediate	back	row	
Lunge Twist	lunge-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-twist	N/A	❌ Not Published	suspension_trainer	Suspension trainer lunge targeting legs and balance. Single-leg instability increases core engagement.	intermediate	legs	lunge	
Curl to Squat	curl-to-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:curl-to-squat	N/A	❌ Not Published	suspension_trainer	Multi-movement suspension trainer combination requiring coordination and full-body stability.	intermediate	full_body	complex	
Wheel Barrow	wheel-barrow	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wheel-barrow	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting full_body with focus on walk movement pattern.	intermediate	full_body	walk	
Dive Bomb PU	dive-bomb-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:dive-bomb-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	intermediate	chest	pushup	
Pike	pike	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pike	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on pike movement pattern.	intermediate	core	pike	
Oblique Twist	oblique-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oblique-twist	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on twist movement pattern.	intermediate	core	twist	
Side Jump Hop	side-jump-hop	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-jump-hop	N/A	❌ Not Published	suspension_trainer	Explosive plyometric exercise using suspension trainer for assistance or added challenge.	intermediate	legs	jump	
Curl Bridge	curl-bridge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:curl-bridge	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting legs with focus on bridge movement pattern.	intermediate	legs	bridge	
Pull Up	pull-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pull-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer pulling exercise targeting back. Body angle adjusts resistance.	intermediate	back	pull	
Lunge Row Cross	lunge-row-cross	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-row-cross	N/A	❌ Not Published	suspension_trainer	Multi-movement suspension trainer combination requiring coordination and full-body stability.	intermediate	full_body	complex	
Y Arm Curl	y-arm-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:y-arm-curl	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting arms with focus on curl movement pattern.	intermediate	arms	curl	
Clap Push Up	clap-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clap-push-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	intermediate	chest	pushup	
Pendulum Crocs	pendulum-crocs	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pendulum-crocs	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on pendulum movement pattern.	intermediate	core	pendulum	
Hand Saw	hand-saw	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hand-saw	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on saw movement pattern.	intermediate	core	saw	
Jump Squat	jump-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jump-squat	N/A	❌ Not Published	suspension_trainer	Explosive plyometric exercise using suspension trainer for assistance or added challenge.	intermediate	legs	jump	
