Standardized Exercise Name,D-Tag,Body Part,Equipment,Sample Weight,Sample Reps,Difficulty,Movement Pattern,Notes
Chest Fly Single Arm Band,chest-fly-single-arm-band,Chest,Resistance Band,3 lb,15,Intermediate,Push,Unilateral chest exercise
Romanian Deadlift Single Leg Band,romanian-deadlift-single-leg-band,Legs,Resistance Band,5 lb,15,Intermediate,Pull,Unilateral posterior chain
Ab Wheel,ab-wheel,Core,Ab Wheel,-,-,Advanced,Push,Core strengthening
Aerobics,aerobics,Cardio,Bodyweight,-,-,Beginner,Full Body,Cardiovascular exercise
Alternate Curls Band,alternate-curls-band,Arms,Resistance Band,3 lb,12,Beginner,Pull,Bicep exercise
Dumbbell Upper Chest Raise Alternating,dumbbell-upper-chest-raise-alternating,Chest,Dumbbell,30 lb,8,Intermediate,Push,Upper chest development
Lunge Reverse Dumbbell Alternating,lunge-reverse-dumbbell-alternating,Legs,Dumbbell,60 lb,10,Intermediate,Push,Unilateral leg exercise
Angels And Devils,angels-and-devils,Back,Bodyweight,-,45 reps,Intermediate,Pull,Back strengthening
Arnold Press Dumbbell,arnold-press-dumbbell,Shoulders,Dumbbell,-,-,Intermediate,Push,Rotating shoulder press
Around the World,around-the-world,Chest,Dumbbell,-,-,Intermediate,Push,Circular arm movement
Back Extension,back-extension,Back,Bodyweight,-,-,Beginner,Pull,Lower back strengthening
Back Extension Machine,back-extension-machine,Back,Machine,220 lb,5,Beginner,Pull,Machine-assisted back extension
Back ISO Propain Finisher,back-iso-propain-finisher,Back,Bodyweight,-,25 reps,Advanced,Pull,Isometric back finisher
Back Pro Pain Finisher,back-pro-pain-finisher,Back,Bodyweight,-,-,Advanced,Pull,Advanced back finisher
Ball Slams,ball-slams,Full Body,Medicine Ball,-,-,Intermediate,Power,Explosive full-body movement
Step Up Barbell,step-up-barbell,Legs,Barbell,135 lb,10,Intermediate,Push,Unilateral leg exercise
Battle Ropes,battle-ropes,Cardio,Battle Ropes,-,-,Intermediate,Full Body,Cardio conditioning
Bench Dip,bench-dip,Arms,Bench,-,30 reps,Beginner,Push,Tricep exercise
Bench Press Barbell,bench-press-barbell,Chest,Barbell,185 lb,3,Intermediate,Push,Compound chest exercise
Bench Press Cable,bench-press-cable,Chest,Cable,-,-,Intermediate,Push,Cable chest press
Bench Press Dumbbell,bench-press-dumbbell,Chest,Dumbbell,80 lb,6,Intermediate,Push,Unilateral chest press
Bench Press Smith Machine,bench-press-smith-machine,Chest,Smith Machine,-,-,Beginner,Push,Guided barbell press
Bench Press Close Grip Barbell,bench-press-close-grip-barbell,Arms,Barbell,-,-,Intermediate,Push,Tricep-focused press
Bench Press Wide Grip Barbell,bench-press-wide-grip-barbell,Chest,Barbell,-,-,Intermediate,Push,Wide-grip chest press
Row Single Arm Dumbbell Bent Over,row-single-arm-dumbbell-bent-over,Back,Dumbbell,70 lb,9,Intermediate,Pull,Unilateral back exercise
Row Band Bent Over,row-band-bent-over,Back,Resistance Band,-,12 reps,Beginner,Pull,Band rowing exercise
Row Barbell Bent Over,row-barbell-bent-over,Back,Barbell,95 lb,10,Intermediate,Pull,Compound back exercise
Row Dumbbell Bent Over,row-dumbbell-bent-over,Back,Dumbbell,50 lb,11,Intermediate,Pull,Dumbbell rowing
Row Underhand Barbell Bent Over,row-underhand-barbell-bent-over,Back,Barbell,145 lb,8,Intermediate,Pull,Underhand grip row
Bicep Curl Barbell,bicep-curl-barbell,Arms,Barbell,80 lb,5,Beginner,Pull,Basic bicep exercise
Bicep Curl Cable,bicep-curl-cable,Arms,Cable,-,-,Beginner,Pull,Cable bicep curl
Bicep Curl Dumbbell,bicep-curl-dumbbell,Arms,Dumbbell,35 lb,5,Beginner,Pull,Dumbbell bicep curl
Bicep Curl Machine,bicep-curl-machine,Arms,Machine,-,-,Beginner,Pull,Machine bicep curl
Biceps Iso Propain Finisher,biceps-iso-propain-finisher,Arms,Bodyweight,0 lb,18,Advanced,Pull,Isometric bicep finisher
Biceps Propain Finisher,biceps-propain-finisher,Arms,Bodyweight,-,40 reps,Advanced,Pull,Advanced bicep finisher
Bicycle Crunch,bicycle-crunch,Core,Bodyweight,-,2 reps,Beginner,Pull,Core exercise
Box Jump,box-jump,Legs,Box,-,19 reps,Intermediate,Power,Plyometric leg exercise
Squat Box Barbell,squat-box-barbell,Legs,Barbell,-,-,Intermediate,Push,Squat variation with box
Bridge And Reach Over,bridge-and-reach-over,Other,Bodyweight,-,45 reps,Beginner,Full Body,Mobility/flexibility exercise
Bulgarian Split Squat,bulgarian-split-squat,Legs,Bodyweight,110 lb,5,Intermediate,Push,Single-leg squat variation
Burpee,burpee,Full Body,Bodyweight,-,10 reps,Intermediate,Full Body,High-intensity full-body exercise
Cable Crossover,cable-crossover,Chest,Cable,-,-,Intermediate,Push,Cable chest fly variation
Cable Crunch,cable-crunch,Core,Cable,-,-,Beginner,Pull,Cable abdominal exercise
Cable Kickback,cable-kickback,Arms,Cable,-,-,Beginner,Push,Tricep isolation exercise
Cable Pull Through,cable-pull-through,Legs,Cable,-,-,Intermediate,Pull,Hip hinge movement
Cable Twist,cable-twist,Core,Cable,-,-,Intermediate,Pull,Rotational core exercise
Calf Press Leg Press Machine,calf-press-leg-press-machine,Legs,Machine,-,-,Beginner,Push,Calf exercise on leg press
Calf Press Seated Leg Press Machine,calf-press-seated-leg-press-machine,Legs,Machine,-,-,Beginner,Push,Seated calf exercise
Calf Raise Band,calf-raise-band,Legs,Resistance Band,5 lb,20,Beginner,Push,Band calf raise
Chest Dip,chest-dip,Chest,Bodyweight,-,100 reps,Intermediate,Push,Bodyweight chest exercise
