Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Chest Press	chest-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:chest-press	N/A	❌ Not Published	dumbbell	Dumbbell pressing exercise targeting chest. Allows for unilateral training and full range of motion.	beginner	chest	press	
Fly	fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:fly	N/A	❌ Not Published	dumbbell	Dumbbell fly movement targeting chest. Excellent for muscle isolation and stretch.	beginner	chest	fly	
Pullover	pullover	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pullover	N/A	❌ Not Published	dumbbell	Dumbbell pullover exercise targeting chest and lats. Great for expanding ribcage and improving flexibility.	beginner	chest	pullover	
Press	press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:press	N/A	❌ Not Published	dumbbell	Dumbbell overhead pressing exercise targeting shoulders. Allows for unilateral training and full range of motion.	beginner	shoulders	press	
Lateral Raise	lateral-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lateral-raise	N/A	❌ Not Published	dumbbell	Dumbbell lateral raise targeting side deltoids. Excellent for shoulder width and definition.	beginner	shoulders	raise	
Front Raise	front-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:front-raise	N/A	❌ Not Published	dumbbell	Dumbbell front raise targeting front deltoids. Builds anterior shoulder strength.	beginner	shoulders	raise	
Upright Row	upright-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:upright-row	N/A	❌ Not Published	dumbbell	Dumbbell upright row targeting shoulders and traps. Focus on controlled movement.	beginner	shoulders	row	
Bent Over Row	bent-over-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bent-over-row	N/A	❌ Not Published	dumbbell	Dumbbell bent over row targeting back muscles. Excellent for building back thickness.	beginner	back	row	
Single Arm Row	single-arm-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:single-arm-row	N/A	❌ Not Published	dumbbell	Dumbbell single arm row targeting back. Unilateral training for muscle balance.	beginner	back	row	
Reverse Fly	reverse-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:reverse-fly	N/A	❌ Not Published	dumbbell	Dumbbell reverse fly targeting rear deltoids and upper back. Great for posture improvement.	beginner	back	fly	
Shrug	shrug	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:shrug	N/A	❌ Not Published	dumbbell	Dumbbell shrug targeting trapezius muscles. Focus on controlled movement and squeeze.	beginner	back	shrug	
Bicep Curl	bicep-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bicep-curl	N/A	❌ Not Published	dumbbell	Dumbbell bicep curl targeting biceps. Independent arm training for balanced development.	beginner	arms	curl	
