Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Vertical Pull	vertical-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:vertical-pull	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting full_body with focus on pull movement pattern.	beginner	full_body	pull	
Squat Knee	squat-knee	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:squat-knee	N/A	❌ Not Published	kettlebell	Lower body strength exercise with kettlebell loading pattern.	beginner	legs	squat	
Body Circle	body-circle	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:body-circle	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on rotation movement pattern.	beginner	core	rotation	
Side Bend	side-bend	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-bend	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on bend movement pattern.	beginner	core	bend	
Goblet Press	goblet-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:goblet-press	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	beginner	chest	press	
Push Up	push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:push-up	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting chest with focus on push movement pattern.	beginner	chest	push	
Russian Swing	russian-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:russian-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	beginner	cardio	swing	
High Pull	high-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:high-pull	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on pull movement pattern.	beginner	legs	pull	
Deadlift	deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:deadlift	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on hinge movement pattern.	beginner	legs	hinge	
Goblet Squat	goblet-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:goblet-squat	N/A	❌ Not Published	kettlebell	Lower body strength exercise with kettlebell loading pattern.	beginner	legs	squat	
