Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Plank	plank	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:plank	N/A	❌ Not Published	bodyweight	Static hold exercise building strength and endurance in core.	beginner	core	isometric
Side Plank	side-plank	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-plank	N/A	❌ Not Published	bodyweight	Static hold exercise building strength and endurance in core.	beginner	core	isometric
Crunch	crunch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:crunch	N/A	❌ Not Published	bodyweight	Bodyweight exercise targeting core with focus on flexion movement pattern.	beginner	core	flexion
Bicycle Crunch	bicycle-crunch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bicycle-crunch	N/A	❌ Not Published	bodyweight	Bodyweight exercise targeting core with focus on rotation movement pattern.	beginner	core	rotation
Dead Bug	dead-bug	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:dead-bug	N/A	❌ Not Published	bodyweight	Bodyweight exercise targeting core with focus on stability movement pattern.	beginner	core	stability
Mountain Climber	mountain-climber	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:mountain-climber	N/A	❌ Not Published	bodyweight	Bodyweight exercise targeting core with focus on dynamic movement pattern.	beginner	core	dynamic
Wall Push-up	wall-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wall-push-up	N/A	❌ Not Published	bodyweight	Bodyweight pushing exercise targeting chest. Focus on controlled movement and proper form.	beginner	chest	push
Incline Push-up	incline-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-push-up	N/A	❌ Not Published	bodyweight	Bodyweight pushing exercise targeting chest. Focus on controlled movement and proper form.	beginner	chest	push
Knee Push-up	knee-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:knee-push-up	N/A	❌ Not Published	bodyweight	Bodyweight pushing exercise targeting chest. Focus on controlled movement and proper form.	beginner	chest	push
Standard Push-up	standard-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:standard-push-up	N/A	❌ Not Published	bodyweight	Bodyweight pushing exercise targeting chest. Focus on controlled movement and proper form.	beginner	chest	push
Superman	superman	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:superman	N/A	❌ Not Published	bodyweight	Bodyweight exercise targeting back with focus on extension movement pattern.	beginner	back	extension
Bird Dog	bird-dog	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bird-dog	N/A	❌ Not Published	bodyweight	Bodyweight exercise targeting back with focus on stability movement pattern.	beginner	back	stability
