Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Sphinx Pose	sphinx-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sphinx-pose	N/A	❌ Not Published	bodyweight	Gentle backbend pose that strengthens the spine and opens the chest. Lie prone with forearms on ground.	beginner	back	backbend
Bound Angle	bound-angle	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bound-angle	N/A	❌ Not Published	bodyweight	Hip opening pose bringing soles of feet together. Seated forward fold variation.	beginner	hips	hip_opener
Mountain Pose	mountain-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:mountain-pose	N/A	❌ Not Published	bodyweight	Foundational standing pose with proper alignment. Base for all standing poses.	beginner	full_body	standing
Child's Pose	childs-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:childs-pose	N/A	❌ Not Published	bodyweight	Restorative kneeling pose with arms extended forward. Calms the mind and stretches back.	beginner	back	restorative
Cat Pose	cat-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cat-pose	N/A	❌ Not Published	bodyweight	Spinal mobility pose on hands and knees. Rounds the spine and stretches back muscles.	beginner	spine	forward_bend
Half Splits	half-splits	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:half-splits	N/A	❌ Not Published	bodyweight	Hamstring stretch in low lunge position. Preparation for full splits.	beginner	legs	forward_bend
Corpse Pose	corpse-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:corpse-pose	N/A	❌ Not Published	bodyweight	Final relaxation pose lying flat on back. Complete rest and integration.	beginner	full_body	restorative
Extended Puppy	extended-puppy	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:extended-puppy	N/A	❌ Not Published	bodyweight	Heart opening pose with hips over knees and arms extended. Stretches shoulders and spine.	beginner	shoulders	backbend
Tree Pose	tree-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tree-pose	N/A	❌ Not Published	bodyweight	Standing balance pose with one foot on inner thigh. Improves focus and stability.	beginner	legs	balancing
Easy With Twist	easy-with-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:easy-with-twist	N/A	❌ Not Published	bodyweight	Seated cross-legged pose with spinal rotation. Improves spinal mobility and digestion.	beginner	spine	twist
Cobra Pose	cobra-pose	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cobra-pose	N/A	❌ Not Published	bodyweight	Active backbend strengthening back muscles. Lifts chest while keeping pelvis grounded.	beginner	back	backbend
